"id","name","area","price","propertytype","builder",
"8","Clique Hydra","Electronic City Phase-1","3900","Apartment","MJR Builders Pvt.Ltd.",
"10","Pearl","Whitefield","4300","Apartment","MJR Builders Pvt.Ltd.",
"12","Platina","Kudlu Gate, Hosur Road","4200","Apartment","MJR Builders Pvt.Ltd.",
"13","Vaibhava Oragadam","Oragadam","2860","Apartment","VBHC",
"16","Green City","Vamadapadavu","2855","Apartment","T3 Urban Developers Ltd.",
"18","Sooryakanti","B.C.Road","2800","Apartment","T3 Urban Developers Ltd.",
"19","Sevantige","B.C.Road","3200","Apartment","T3 Urban Developers Ltd.",
"20","Sugandhi","B.H.Road","2800","Apartment","T3 Urban Developers Ltd.",
"21","Sooryakanti","Renuka Nagar","2800","Apartment","T3 Urban Developers Ltd.",
"23","Vaibhav Vasind Hills","Vasind","2456","Apartment","VBHC",
"24","Palghar Greens","Palghar East","2606","Apartment","VBHC",
"25","Hill Side","Hadapsar","3700","Apartment","Bell Weather Developers Pvt. Ltd.",
"26","Sunshine Hills 2","Pisoli","4100","Apartment","Shagun Developers",
"28","Serene Town","Whitefield","4200","Apartment","VBHC",
"29","Vaibhava","Mysore Rd. NICE Jn.","3290","Apartment","VBHC",
"30","Vaibhava","Nr.Electronic City","2740","Apartment","VBHC",
"31","Vaibhav","Nr. Honda Siel","2655","Apartment","VBHC",
